NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_83	ENSG00000123200	24050	-0.07299993187189102	-0.66051584	Yes	
row_84	ENSG00000241878	24094	-0.07930153608322144	-0.65152323	Yes	
row_85	ENSG00000243927	24114	-0.08205107599496841	-0.6411705	Yes	
row_86	ENSG00000138772	24125	-0.08383788168430328	-0.6302052	Yes	
row_87	ENSG00000102547	24144	-0.08625926077365875	-0.61924034	Yes	
row_88	ENSG00000117632	24202	-0.10442162305116653	-0.6074147	Yes	
row_89	ENSG00000100906	24257	-0.14024293422698975	-0.5906049	Yes	
row_90	ENSG00000143153	24276	-0.1626453548669815	-0.56927466	Yes	
row_91	ENSG00000143799	24302	-0.20010057091712952	-0.54314965	Yes	
row_92	ENSG00000111907	24325	-0.23131446540355682	-0.5126657	Yes	
row_93	ENSG00000111328	24346	-0.270671546459198	-0.4767588	Yes	
row_94	ENSG00000120129	24372	-0.3663749098777771	-0.42807087	Yes	
row_95	ENSG00000101335	24375	-0.3844417631626129	-0.37598544	Yes	
row_96	ENSG00000227105	24397	-0.4913613498210907	-0.3101727	Yes	
row_97	ENSG00000168014	24401	-0.5762851238250732	-0.23209578	Yes	
row_98	ENSG00000091137	24412	-0.8379669189453125	-0.11879723	Yes	
row_99	ENSG00000138685	24414	-0.8760659694671631	4.1384603E-5	Yes	
